HU number,Shipping Point,Packed Quantity,Material,Packaging Materials,Length,Width,Height,Total Volume
LELMECB40065007826E,CND7,10,SEF901376/0535,EAB-ZPACK,0.8,0.6,0.46,0.221
LELMECB40064998040E,CND7,1,RDH10265/3,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40064998040E,CND7,1,RDH10265/25,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40064998040E,CND7,1,RNT44737/01,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40064998040E,CND7,1,SEF901377/4,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40064998040E,CND7,1,SEF901376/0535,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40064594181E,CND7,2,RDH10270/1,RTK193170/10,0.188,0.096,0.148,0.003
LELMECB40065020818E,CND7,14,RDH10265/3,EAB-ZPACK,0.8,0.6,0.46,0.221
LELMECB40065020818E,CND7,14,RDH10265/25,EAB-ZPACK,0.8,0.6,0.46,0.221
LELMECB40065020818E,CND7,14,RNT44737/01,EAB-ZPACK,0.8,0.6,0.46,0.221
LELMECB40065020818E,CND7,14,SEF901377/4,EAB-ZPACK,0.8,0.6,0.46,0.221
LELMECB40065020818E,CND7,14,SEF901376/0535,EAB-ZPACK,0.8,0.6,0.46,0.221
LELMECB40064969699E,CND7,20,RPM1192060/5,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40064969699E,CND7,20,SEF901377/4,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40064969699E,CND7,20,RDH10265/1,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40064969699E,CND7,20,SEF901376/0214,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40064969699E,CND7,20,RPM777045/03000,RTK21717/741,1.2,0.8,0.75,0.72
LELMECB40064969415E,CND7,2,RPM1192060/5,RTK193170/1,0.596,0.396,0.493,0.116
LELMECB40064969415E,CND7,2,SEF901377/4,RTK193170/1,0.596,0.396,0.493,0.116
LELMECB40064969415E,CND7,2,RDH10265/1,RTK193170/1,0.596,0.396,0.493,0.116
LELMECB40064969415E,CND7,2,SEF901376/0214,RTK193170/1,0.596,0.396,0.493,0.116
LELMECB40064969415E,CND7,2,RPM777045/03000,RTK193170/1,0.596,0.396,0.493,0.116
LELMECB40064533388E,CND7,3,RDH10265/3,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40064533388E,CND7,3,RDH10265/25,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40064533388E,CND7,3,RNT44737/01,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40064533388E,CND7,3,SEF901377/4,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40064533388E,CND7,3,SEF901376/0535,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40064533388E,CND7,3,RPM2531610/10M,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40065018884E,CND7,4,RDH10265/3,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40065018884E,CND7,4,RDH10265/25,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40064995803E,CND7,4,NCD90178/1,RTK193170/6,0.288,0.188,0.148,0.008
LELMECB40064995803E,CND7,4,RPM777096/00115,RTK193170/6,0.288,0.188,0.148,0.008
LELMECB40064995803E,CND7,4,RPM777755/01500,RTK193170/6,0.288,0.188,0.148,0.008
LELMECB40064589880E,CND7,1,NGC90145,RTK193170/10,0.188,0.096,0.148,0.003
LELMECB40065025929E,CND7,1,RPM1136127/3000,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40065025929E,CND7,1,NCD90165/1,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40065026230E,CND7,7,NCD90178/1,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40065026230E,CND7,7,RPM777096/00115,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40065026230E,CND7,7,RPM777755/01500,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40064765123E,CND7,1,RPM2530292/10M,RTK193170/5,0.396,0.298,0.164,0.019
LELMECB40065009325E,CND7,1,SEF901377/4,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40065009325E,CND7,1,RDH10265/1,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40065009325E,CND7,1,RPM777045/03000,RTK193170/2,0.596,0.396,0.328,0.077
LELMECB40064547613E,CND7,4,RDH10265/3,RTK193170/1,0.596,0.396,0.493,0.116
LELMECB40064547613E,CND7,4,RDH10265/25,RTK193170/1,0.596,0.396,0.493,0.116
LELMECB40064547613E,CND7,4,RNT44737/01,RTK193170/1,0.596,0.396,0.493,0.116
LELMECB40064547613E,CND7,4,SEF901377/4,RTK193170/1,0.596,0.396,0.493,0.116
LELMECB40064547613E,CND7,4,SEF901376/0535,RTK193170/1,0.596,0.396,0.493,0.116
LELMECB40064547613E,CND7,4,RPM2531610/10M,RTK193170/1,0.596,0.396,0.493,0.116
LELMECB40065022058E,CND7,9,RDH10265/3,EAB-ZPACK,0.8,0.6,0.46,0.221
LELMECB40065022058E,CND7,9,RDH10265/25,EAB-ZPACK,0.8,0.6,0.46,0.221
